city,postal,state,latitude,longitude,searches
Rockford,IL,Illinois,42.2711311,-89.0939952,96752.0
Rock Island-Moline,IL,Illinois,41.5067003,-90.5151342,96272.0
Sacramento-Stockton-Modesto,CA,California,37.8968929,-121.2514811,89920.0
Salisbury,MD,Maryland,38.3606736,-75.5993692,104384.0
Salt Lake City,UT,Utah,40.7607793,-111.8910474,91872.0
San Angelo,TX,Texas,31.4637723,-100.4370375,100608.0
San Antonio,TX,Texas,29.4241219,-98.4936282,92512.0
San Diego,CA,California,32.715738,-117.1610838,87872.0
San Jose,CA,California,37.3382082,-121.8863286,73952.0
Santa Barbara-Santa Maria-San Luis Obispo,CA,California,34.937706,-120.433378,82752.0
Savannah,GA,Georgia,32.0808989,-81.091203,95888.0
Seattle-Tacoma,WA,Washington,47.4502499,-122.3088165,85296.0
Shreveport,LA,Louisiana,32.5251516,-93.7501789,98064.0
Sioux City,IA,Iowa,42.4963416,-96.4049408,97872.0
Sioux Falls(Mitchell),SD,South Dakota,43.4889533,-96.7293265,109808.0
South Bend-Elkhart,IN,Indiana,41.6843287,-85.9708313,92928.0
Spokane,WA,Washington,47.6587802,-117.4260465,96032.0
Springfield,MO,Missouri,37.2089572,-93.2922989,98064.0
Springfield-Holyoke,MA,Massachusetts,42.2042586,-72.6162009,103216.0
St. Joseph,MO,Missouri,42.1440481,-83.1786345,107040.0
St. Louis,MO,Missouri,38.6270025,-90.1994042,96000.0
Syracuse,NY,New York,43.0481221,-76.1474244,102976.0
Tampa-St. Petersburg (Sarasota),FL,Florida,27.8823552,-82.6759794,94800.0
Terre Haute,IN,Indiana,39.4667034,-87.4139092,107280.0
Thomasville,GA,Georgia,35.8826369,-80.0819879,105632.0
Toledo,OH,Ohio,41.6528052,-83.5378674,103392.0
Topeka,KS,Kansas,39.0473451,-95.6751576,97744.0
Traverse City-Cadillac,MI,Michigan,44.7354212,-85.5946084,102064.0
Tri-Cities,VA,Virginia,46.2349999,-119.2233014,110464.0
Tucson (Sierra Vista),AZ,Arizona,32.2709837,-110.9614306,95872.0
Tulsa,OK,Oklahoma,36.1539816,-95.992775,87168.0
Twin Falls,ID,Idaho,42.5558381,-114.4700518,96752.0
Tyler-Longview(Lufkin & Nacogdoches),TX,Texas,32.3512601,-95.3010624,103392.0
Utica,NY,New York,43.100903,-75.232664,103664.0
Victoria,TX,Texas,-37.4713077,144.7851531,91792.0
Waco-Temple-Bryan,TX,Texas,30.6724861,-96.3750299,95056.0
Watertown,NY,New York,42.3709299,-71.1828321,102304.0
Wausau-Rhinelander,WI,Wisconsin,45.6555505,-89.3920037,106880.0
West Palm Beach-Ft. Pierce,FL,Florida,27.4680959,-80.2922282,88816.0
Wheeling WV-Steubenville,OH,Ohio,40.0658125,-80.7214227,109008.0
Wichita-Hutchinson,KS,Kansas,38.0232033,-97.9405316,93168.0
Wilkes Barre-Scranton,PA,Pennsylvania,41.240536,-75.848551,106080.0
Wilmington,NC,North Carolina,34.2103894,-77.8868117,103440.0
Yakima-Pasco-Richland-Kennewick,WA,Washington,46.2323882,-119.134048,92336.0
Youngstown,OH,Ohio,41.0997803,-80.6495194,101008.0
Yuma AZ-El Centro,CA,California,32.7001663,-114.5258431,92448.0
Zanesville,OH,Ohio,39.9403453,-82.0131924,96320.0
